# Constructed from biom file
#OTU ID	515rcbc8	515rcbc9	515rcbc10	515rcbc11	515rcbc13	515rcbc14	515rcbc15	515rcbc16	515rcbc17	515rcbc18	515rcbc19	515rcbc21	515rcbc22	515rcbc23	515rcbc24	515rcbc25	515rcbc26	515rcbc27	515rcbc28	515rcbc29	515rcbc31	515rcbc32	515rcbc33	515rcbc34	515rcbc35	515rcbc36	515rcbc37
Unassigned;Other;Other	0.0055283997524	0.00230268600739	0.00216853305408	0.00234982838852	0.00442544254425	0.00356591855151	0.00359832078363	0.00261641763206	0.00333630820815	0.00315932351473	0.00382675033838	0.00594771917899	0.00399280848349	0.00290384238385	0.00262338644761	0.00402558420063	0.00474711397048	0.0028203477141	0.00337136723254	0.0026138060913	0.00204398773607	0.00316832069255	0.00290952674593	0.00335324616772	0.00314840624467	0.00407553665452	0.00294079300004
k__Archaea;p__Crenarchaeota;c__MBGA	6.40355183675e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.59051250699e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.01321289309e-05	0.0	0.0	0.0	0.0	0.0	9.74867905399e-06	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__MCG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	0.0114623577878	0.0454056588164	0.014038658177	0.0102966889623	0.0197269726973	0.0251288097109	0.0229309655494	0.0269516921228	0.0323371673075	0.0291125811283	0.017189614864	0.0120062654234	0.0144544128341	0.0294917663203	0.0529477941248	0.00469885263837	0.0595319890748	0.0169349645847	0.0408619250189	0.0277669545641	0.00796595220429	0.00630739534793	0.0161630724602	0.0371393146979	0.0288369947761	0.0045818144998	0.0193831578032
k__Archaea;p__Euryarchaeota;c__Methanobacteria	0.0	2.75770779328e-05	4.93971082933e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23046634675e-05	0.0	0.0	2.45049990198e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia	0.0	4.13656168992e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.0	2.75770779328e-05	8.39750840986e-05	0.0	0.0	0.0	0.0	5.18102501399e-06	6.6726164163e-05	6.24063904144e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000340701959604	0.0	0.0	0.000135290170357	0.0	0.0	0.0	5.63570784491e-05	0.000100267714799	0.0	4.34599950745e-05
k__Archaea;p__[Parvarchaeota];c__[Micrarchaea]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.70350979802e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea]	8.53806911567e-05	2.75770779328e-05	0.0	9.25129286818e-05	1.500150015e-05	7.277384799e-05	2.49883387752e-05	4.66292251259e-05	0.0	7.8007988018e-05	1.84569952012e-05	8.12731813279e-05	5.79961008775e-05	3.67574985297e-05	0.000140625151536	2.10396386793e-05	5.6783659934e-05	0.0	3.18053512503e-05	4.32928545144e-05	6.29996220023e-05	6.82407533779e-05	5.21109267928e-05	9.86248872858e-05	0.0	0.0	0.000492546610845
k__Bacteria;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.99995800025e-06	0.0	0.0	0.0	2.00535429597e-05	0.0	0.0
