# Constructed from biom file
#OTU ID	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc16	515rcbc29	515rcbc9	515rcbc14	515rcbc19	515rcbc28	515rcbc10	515rcbc8	515rcbc25	515rcbc36	515rcbc32
k__Archaea;p__Crenarchaeota	0.0148899918512	0.0367073135521	0.0435399826308	0.0182496520821	0.00895380958499	0.026517487446	0.0693517396515	0.0165122418345	0.0216929736491	0.0605666035354	0.0341266609912	0.0326754537299	0.0114802738491	0.0192233869777	0.0229215297401	0.0326796477876	0.0298737098532	0.0314893144739	0.0496748304967	0.0285527627248	0.0194027439217	0.045795042786	0.0159750192334	0.013139864931	0.00556473919377	0.0051863012111	0.00717620708483
k__Archaea;p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.63672438672e-06	9.25343302365e-06	0.0	0.0	0.0	0.0	2.77770061943e-05	0.0	0.0	7.68722229909e-05	0.0	1.40497783647e-05	0.0	1.13137529981e-05	0.0	0.0	0.0	0.0
k__Archaea;p__[Parvarchaeota]	6.48196162679e-05	0.0	6.68047297749e-05	3.94800477709e-05	0.0	0.0	2.00844887493e-05	2.07050054351e-05	0.0	6.2003968254e-05	3.70137320946e-05	0.0	0.0	0.0	1.7550941608e-05	4.16655092914e-05	0.0	6.16591237005e-06	0.0	3.35028016718e-05	7.02488918237e-06	0.0	0.0	2.44690222179e-05	0.0	0.0	2.22863574063e-05
k__Bacteria;p__	0.000185198903622	8.66192506472e-05	5.01035473312e-05	0.000246750298568	4.81819349865e-05	0.000195773255416	0.000234319035409	0.00037786634919	0.000246885132577	0.000208558802309	0.00020357552652	0.000195523658363	0.000251622440528	0.000236232098036	0.000965301788441	5.55540123885e-05	6.99345529142e-05	0.000209641020582	0.000230616668973	0.00036853081839	0.000182647118742	0.000478914220138	0.000214961306965	9.78760888715e-05	8.18343999083e-05	2.89737497827e-05	3.34295361095e-05
k__Bacteria;p__AC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__AD3	0.0	0.0	0.0	0.0	0.0	0.0	1.33896591662e-05	0.0	0.0	0.0	0.0	0.0	1.04842683553e-05	0.0	0.0	0.0	3.49672764571e-05	0.0	0.0	8.37570041795e-06	7.02488918237e-06	0.0	3.39412589944e-05	0.000122345111089	0.000523740159413	0.0	0.000100288608328
k__Bacteria;p__Acidobacteria	0.216858656197	0.158927076215	0.192915358407	0.139788979145	0.17975073879	0.184222633346	0.219503377542	0.180480356126	0.161578089767	0.199596410534	0.200235037199	0.25755066363	0.151812205785	0.194817658349	0.231549572635	0.182231049138	0.158098712621	0.162292979492	0.183017388497	0.148476041309	0.187859586515	0.193309658706	0.189522333348	0.237936772047	0.238735494853	0.0486469258851	0.218049720863
k__Bacteria;p__Actinobacteria	0.0981831987555	0.230426455444	0.183145166678	0.159874453448	0.0945490170885	0.273573547118	0.121879372561	0.139225632797	0.148345046661	0.145951704545	0.175250768035	0.109447243116	0.12303288915	0.159722427285	0.0941256998438	0.113635732341	0.12732168146	0.180359102736	0.143013083652	0.133634300168	0.0914500073761	0.124002638546	0.134141512423	0.104580600959	0.155338057906	0.189198586081	0.0956976187027
k__Bacteria;p__Armatimonadetes	0.000472257204237	0.000587086032165	0.000818357939742	0.000483630585193	0.000497879994861	0.00105717557924	0.00108456239246	0.000678088927998	0.000921704494955	0.000817325036075	0.0010548913647	0.002219768592	0.000555666222833	0.000354348147054	0.000631833897889	0.000347212577428	0.000798419479104	0.000628923061745	0.000568854450133	0.000644928932182	0.00102563382063	0.000596383745832	0.000197990677468	0.00149261035529	0.00197220903779	0.000463579996523	0.00202805852397
k__Bacteria;p__BHI80-139	3.70397807245e-05	5.77461670982e-05	5.01035473312e-05	4.93500597136e-05	3.2121289991e-05	0.00012725261602	4.01689774987e-05	7.76437703815e-05	6.5836035354e-05	1.69101731602e-05	5.55205981419e-05	4.60055666736e-05	3.1452805066e-05	5.90580245091e-05	5.26528248241e-05	1.38885030971e-05	2.33115176381e-05	3.69954742203e-05	3.07488891964e-05	5.02542025077e-05	0.000168597340377	8.13250562498e-05	1.13137529981e-05	7.34070666536e-05	9.820127989e-05	0.0	3.34295361095e-05
